Date,Page,Query,Clicks,Impressions,CTR,Position
2024-08-28,https://flashcomindonesia.com/cara-membuat-windows-portable.html,cara membuat windows portable di flashdisk,18,29,0.6206896551724138,1.793103448275862
2024-07-23,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,sebutkan fungsi dari software perangkat lunak animasi 2d dan 3d,16,41,0.3902439024390244,1.0
2024-10-01,https://flashcomindonesia.com/,flashcom indonesia,14,33,0.42424242424242425,1.0
2025-01-23,https://flashcomindonesia.com/perbedaan-web-design-dan-web-programming.html,sebutkan perbedaan antara web desian dan pemrograman web,14,31,0.45161290322580644,2.258064516129032
2024-04-28,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,sebutkan software apa saja yang termasuk 2d dan 3d,12,21,0.5714285714285714,1.0
2024-06-05,https://flashcomindonesia.com/hal-yang-perlu-diperhatikan-pada-desain-grafis.html,sebagai seorang designer hal apakah yang perlu anda perhatikan ?,12,91,0.13186813186813187,1.3626373626373627
2024-04-28,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,sebutkan 3 software untuk membuat animasi 2d dan 3d !,11,104,0.10576923076923077,2.3653846153846154
2024-08-16,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,program aplikasi dari microsoft yang dapat digunakan untuk membuat animasi 2 dimensi adalah,11,167,0.0658682634730539,1.9700598802395208
2025-01-12,https://flashcomindonesia.com/perbedaan-web-design-dan-web-programming.html,sebutkan perbedaan antara web desian dan pemrograman web,11,32,0.34375,2.65625
2024-06-03,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,software yang digunakan untuk membuat animasi 2d adalah,10,124,0.08064516129032258,1.0806451612903225
2024-07-08,https://flashcomindonesia.com/,flashcom indonesia,10,26,0.38461538461538464,1.0
2024-07-23,https://flashcomindonesia.com/,flashcom indonesia,10,31,0.3225806451612903,1.096774193548387
2024-09-06,https://flashcomindonesia.com/,flashcom indonesia,10,26,0.38461538461538464,1.0769230769230769
2025-01-15,https://flashcomindonesia.com/perbedaan-web-design-dan-web-programming.html,sebutkan perbedaan antara web desian dan pemrograman web,10,26,0.38461538461538464,2.1923076923076925
2024-07-30,https://flashcomindonesia.com/tips-meningkatkan-skill-desainer-grafis.html,bagaimana cara meningkatkan kemampuan desain grafis,9,21,0.42857142857142855,1.0
2024-08-07,https://flashcomindonesia.com/,flashcom indonesia,9,38,0.23684210526315788,1.2894736842105263
2024-09-05,https://flashcomindonesia.com/,flashcom indonesia,9,25,0.36,1.0
2024-09-30,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,9,16,0.5625,1.125
2025-01-13,https://flashcomindonesia.com/,flashcom indonesia,9,34,0.2647058823529412,1.0
2025-02-02,https://flashcomindonesia.com/perbedaan-web-design-dan-web-programming.html,tulilah perbedaan desain web dengan pemrograman web,9,34,0.2647058823529412,2.5588235294117645
2024-04-14,https://flashcomindonesia.com/training-admin-perkantoran.html,training admin,8,45,0.17777777777777778,1.0444444444444445
2024-05-27,https://flashcomindonesia.com/apa-saja-software-membuat-animasi.html,software yang digunakan untuk membuat animasi 2d adalah,8,52,0.15384615384615385,1.0769230769230769
2024-07-12,https://flashcomindonesia.com/,flashcom indonesia,8,21,0.38095238095238093,1.0476190476190477
2024-07-15,https://flashcomindonesia.com/,flashcom indonesia,8,36,0.2222222222222222,1.0555555555555556
2024-07-22,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,8,13,0.6153846153846154,1.0769230769230769
2024-07-23,https://flashcomindonesia.com/cara-membuat-dinding-autocad.html,cara membuat dinding di autocad,8,12,0.6666666666666666,1.0
2024-07-29,https://flashcomindonesia.com/,flashcom indonesia,8,14,0.5714285714285714,1.0
2024-08-13,https://flashcomindonesia.com/,flashcom indonesia,8,27,0.2962962962962963,1.037037037037037
